sample,gene,ct,well,method,tissue,cell
z1,CbNaV,-1,A9,zymo,neuron,PD
z1,IH,-1,A7,zymo,neuron,PD
z1,IH,NA,A8,zymo,neuron,PD
z1,IH,-1,A9,zymo,neuron,PD
z1,inx1,33.5135,A7,zymo,neuron,PD
z1,inx1,NA,A8,zymo,neuron,PD
z1,inx1,35.9241,A9,zymo,neuron,PD
z1,inx2,36.131,A7,zymo,neuron,PD
z1,inx2,37.8026,A8,zymo,neuron,PD
z1,inx2,NA,A9,zymo,neuron,PD
z1,shal,-1,A7,zymo,neuron,PD
z1,shal,-1,A8,zymo,neuron,PD
z1,shal,-1,A9,zymo,neuron,PD
z2,CbNaV,29.8297,B7,zymo,neuron,PD
z2,CbNaV,29.38,B8,zymo,neuron,PD
z2,CbNaV,29.6097,B9,zymo,neuron,PD
z2,IH,34.6938,B7,zymo,neuron,PD
z2,IH,33.9061,B8,zymo,neuron,PD
z2,IH,31.9096,B9,zymo,neuron,PD
z2,inx1,31.944,B7,zymo,neuron,PD
z2,inx1,30.3294,B8,zymo,neuron,PD
z2,inx1,30.1301,B9,zymo,neuron,PD
z2,inx2,32.5995,B7,zymo,neuron,PD
z2,inx2,32.6859,B8,zymo,neuron,PD
z2,inx2,30.9958,B9,zymo,neuron,PD
z2,shal,-1,B7,zymo,neuron,PD
z2,shal,32.9059,B8,zymo,neuron,PD
z2,shal,32.1197,B9,zymo,neuron,PD
z4,CbNaV,29.8227,D7,zymo,neuron,PD
z4,CbNaV,29.4137,D8,zymo,neuron,PD
z4,CbNaV,29.8597,D9,zymo,neuron,PD
z4,IH,33.2848,D7,zymo,neuron,PD
z4,IH,32.0932,D8,zymo,neuron,PD
z4,IH,32.3957,D9,zymo,neuron,PD
z4,inx1,30.4997,D7,zymo,neuron,PD
z4,inx1,29.5199,D8,zymo,neuron,PD
z4,inx1,30.2128,D9,zymo,neuron,PD
z4,inx2,31.4945,D7,zymo,neuron,PD
z4,inx2,30.6528,D8,zymo,neuron,PD
z4,inx2,28.9433,D9,zymo,neuron,PD
z4,shal,-1,D7,zymo,neuron,PD
z4,shal,33.1018,D8,zymo,neuron,PD
z4,shal,32.6318,D9,zymo,neuron,PD
z10,CbNaV,30.43,B10,zymo,neuron,SC
z10,CbNaV,30.4711,B11,zymo,neuron,SC
z10,CbNaV,31.6576,B12,zymo,neuron,SC
z10,IH,-1,B10,zymo,neuron,SC
z10,IH,34.689,B11,zymo,neuron,SC
z10,IH,34.947,B12,zymo,neuron,SC
z10,inx1,32.1157,B10,zymo,neuron,SC
z10,inx1,31.7882,B11,zymo,neuron,SC
z10,inx1,29.15,B12,zymo,neuron,SC
z10,inx2,NA,B10,zymo,neuron,SC
z10,inx2,NA,B11,zymo,neuron,SC
z10,inx2,NA,B12,zymo,neuron,SC
z10,shal,34.3775,B10,zymo,neuron,SC
z10,shal,33.8663,B11,zymo,neuron,SC
z10,shal,31.5925,B12,zymo,neuron,SC
z11,CbNaV,32.8895,C10,zymo,neuron,SC
z11,CbNaV,31.6271,C11,zymo,neuron,SC
z11,CbNaV,-1,C12,zymo,neuron,SC
z11,IH,-1,C10,zymo,neuron,SC
z11,IH,-1,C11,zymo,neuron,SC
z11,IH,-1,C12,zymo,neuron,SC
z11,inx1,NA,C10,zymo,neuron,SC
z11,inx1,-1,C11,zymo,neuron,SC
z11,inx1,-1,C12,zymo,neuron,SC
z11,inx2,-1,C10,zymo,neuron,SC
z11,inx2,-1,C11,zymo,neuron,SC
z11,inx2,-1,C12,zymo,neuron,SC
z11,shal,-1,C10,zymo,neuron,SC
z11,shal,-1,C11,zymo,neuron,SC
z11,shal,-1,C12,zymo,neuron,SC
z7,CbNaV,29.9782,G7,zymo,neuron,SC
z7,CbNaV,28.9729,G8,zymo,neuron,SC
z7,CbNaV,28.5983,G9,zymo,neuron,SC
z7,IH,33.2885,G7,zymo,neuron,SC
z7,IH,32.5089,G8,zymo,neuron,SC
z7,IH,NA,G9,zymo,neuron,SC
z7,inx1,29.1981,G7,zymo,neuron,SC
z7,inx1,28.938,G8,zymo,neuron,SC
